Warning: The created OpenGL context does not fully meet the settings that were requested
Requested: version = 1.1 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Created: version = 0.0 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Setting vertical sync failed
magnitude;type;tk
0.0898848;0;0.0003
0.0898848;0;0.0003
0.0898848;0;0.0003
0.0898848;1;0.0003
0.0898848;1;0.0003
0.124251;0;0.0003
0.124251;0;0.0003
0.124251;0;0.0003
0.124251;1;0.0003
0.124251;1;0.0003
0.0845469;0;0.0003
0.0845469;0;0.0003
0.0845469;0;0.0003
0.0845469;1;0.0003
0.0845469;1;0.0003
0.0739665;0;0.0003
0.0739665;0;0.0003
0.0739665;0;0.0003
0.0739665;0;0.0003
0.0739665;1;0.0003
0.0739665;2;0.0003
0.0520918;0;0.0003
0.0520918;0;0.0003
0.0520918;0;0.0003
0.0520918;0;0.0003
0.0520918;1;0.0003
0.0520918;2;0.0003
0.000275759;1;0.0003
0.000275759;1;0.0003
0.212074;0;0.0004
0.212074;0;0.0004
0.212074;0;0.0004
0.212074;1;0.0004
0.212074;1;0.0004
0.216184;0;0.0004
0.216184;0;0.0004
0.216184;0;0.0004
0.216184;1;0.0004
0.216184;1;0.0004
0.268324;0;0.0004
0.268324;0;0.0004
0.268324;0;0.0004
0.268324;1;0.0004
0.268324;1;0.0004
0.233621;0;0.0004
0.233621;0;0.0004
0.233621;0;0.0004
0.233621;1;0.0004
0.233621;1;0.0004
0.209146;0;0.0004
0.209146;0;0.0004
0.209146;0;0.0004
0.209146;0;0.0004
0.209146;1;0.0004
0.209146;2;0.0004
0.161324;0;0.0004
0.161324;0;0.0004
0.161324;0;0.0004
0.161324;0;0.0004
0.161324;1;0.0004
0.161324;2;0.0004
0.000827278;1;0.0004
0.000827278;1;0.0004
0.423702;0;0.0005
0.423702;0;0.0005
0.423702;0;0.0005
0.423702;1;0.0005
0.423702;1;0.0005
0.435122;0;0.0005
0.435122;0;0.0005
0.435122;0;0.0005
0.435122;1;0.0005
0.435122;1;0.0005
0.491372;0;0.0005
0.491372;0;0.0005
0.491372;0;0.0005
0.491372;1;0.0005
0.491372;1;0.0005
0.458622;0;0.0005
0.458622;0;0.0005
0.458622;0;0.0005
0.458622;1;0.0005
0.458622;1;0.0005
0.430998;0;0.0005
0.430998;0;0.0005
0.430998;0;0.0005
0.430998;0;0.0005
0.430998;1;0.0005
0.430998;2;0.0005
0.38158;0;0.0005
0.38158;0;0.0005
0.38158;0;0.0005
0.38158;0;0.0005
0.38158;1;0.0005
0.38158;2;0.0005
0.00165456;1;0.0005
0.00165456;1;0.0005
0.718927;0;0.0006
0.718927;0;0.0006
0.718927;0;0.0006
0.718927;1;0.0006
0.718927;1;0.0006
0.733071;0;0.0006
0.733071;0;0.0006
0.733071;0;0.0006
0.733071;1;0.0006
0.733071;1;0.0006
0.790768;0;0.0006
0.790768;0;0.0006
0.790768;0;0.0006
0.790768;1;0.0006
0.790768;1;0.0006
0.75891;0;0.0006
0.75891;0;0.0006
